review_sample_id,evidence_id,application_id,log_id,timestamp,source_type,direction,evidence_span,evidence_category,evidence_description,context_before,context_after,response_latency_hours,extractor_confidence,information_quality,duplication_status,human_decision,human_evidence_category,human_description,human_notes
REV-0080,EV-130d70b8ab97,APP-00656,LOG-004549,2025-02-03 00:00:00,candidate_message,candidate_facing,"Good morning, great, see you then. TY",commitment_language,Candidate uses language expressing forward commitment to the role.,"understood, appreciate it.","understood, appreciate it.",3.4,0.6,medium,unique,PENDING,,,
REV-0081,EV-c7273ce65ddc,APP-00663,LOG-004605,2025-04-15 00:00:00,candidate_message,candidate_facing,really appreciate you,candidate_excitement,Candidate expresses positive sentiment about the role or process.,"this role sounds like a great fit, can't wait to get started. Talk soon",this role sounds like a great,66.7,0.6,low,unique,PENDING,,,
REV-0082,EV-e497a2fdd6d3,APP-00691,LOG-004775,2024-08-23 00:00:00,withdrawal_statement,candidate_facing,"I've decided to withdraw from this opportunity, thank you for the time and consideration.",withdrawal_language,Communication contains explicit withdrawal or declination language.,"FYI, touched base with candidate, nothing new to report.",,57.9,0.75,high,repeated_but_usable,PENDING,,,
REV-0083,EV-da1669c0a328,APP-00698,LOG-004817,2025-04-25 00:00:00,recruiter_note,internal,Background check flagged for review - escalating with client.,documentation,"Reference to offer letter, paperwork, or background check status.",,any update on the background check? just want to plan aruond it.,7.5,0.6,medium,likely_template,PENDING,,,
REV-0084,EV-04eec378ebd3,APP-00702,LOG-004858,2024-12-22 00:00:00,recruiter_note,internal,"Start date moved again per client request, candidate updated. Noted for the file.",joining_date,"Candidate references the start/joining date, its confirmation, or a change to it.",Note: clent requested start date be pushed. Notified candidate.,"Sart date moved again per client request, candidate updated.",5.8,0.6,high,repeated_but_usable,PENDING,,,
REV-0085,EV-bdce6b8d9aaa,APP-00706,LOG-004891,2024-08-15 00:00:00,candidate_message,candidate_facing,"Hey, would prfeer day shift if that's possible at all.",schedule_shift,Candidate raises a comment about shift or schedule.,is thhere any flexibility on the shift start time? Thanks!,"Discussed shift schedule concerns with candidate, checked with client on flexibility.",47.3,0.6,high,unique,PENDING,,,
REV-0086,EV-71240829710b,APP-00716,LOG-004971,2025-03-01 00:00:00,candidate_message,candidate_facing,"ok, and is this the final date or could it move again?",joining_date,"Candidate references the start/joining date, its confirmation, or a change to it.",Post-interview check-in with candidate - they felt it went fine.,"ok, and is this the final date or",61.3,0.6,medium,same_application_duplicate,PENDING,,,
REV-0087,EV-97437dfa649d,APP-00730,LOG-005055,2024-11-09 00:00:00,candidate_message,candidate_facing,the rate is a little lower than I was expectting honestly. Thanks,compensation_concern,Candidate raises a question or concern about compensation.,"Hi there, still thinking about the comp, want to make sure the math works out. Taalk soon",Candidate seems okay with comp after clarifying overtime/differential.,2.6,0.6,high,unique,PENDING,,,
REV-0088,EV-ceb1a6bbbe9a,APP-00736,LOG-005093,2024-04-22 00:00:00,recruiter_note,internal,"Candidate asked about contract length/conversion path, gave what info we have.",job_security_concern,Candidate asks about role stability or long-term security.,"Hey, just wnt to understand how stable this assignment is before I commit.","is this role likely to covert to permanent, or stay contract long term?",2.7,0.6,medium,likely_template,PENDING,,,
REV-0089,EV-a5e52b1c7b4c,APP-00741,LOG-005129,2024-11-02 00:00:00,recruiter_note,internal,"Candidate raised commute/transportation concern, discussed options.",location_commute,Candidate raises a comment or concern about commute/location.,,"Hi, traffic to that location is rough, still deciding if it's manageable. Thank you",7.0,0.6,medium,likely_template,PENDING,,,
REV-0090,EV-4a720b4828d4,APP-00741,LOG-005138,2024-12-12 00:00:00,recruiter_note,internal,"Candidate raised commute/transportation concern, discussed options. Will follow up early next week.",location_commute,Candidate raises a comment or concern about commute/location.,"just realized the commute is longer than I thought, thinking it through.",Transportation to the site fell...,33.7,0.6,high,repeated_but_usable,PENDING,,,
REV-0091,EV-623db4653df2,APP-00752,LOG-005209,2025-07-29 00:00:00,withdrawal_statement,candidate_facing,"personal reasons, sorry.",contradictory_information,Stated reason is brief/generic; may warrant comparison against surrounding evidence.,Spoke with candidate briefyl - process movng forward as planned.,,25.2,0.45,low,potential_redundancy,PENDING,,,
REV-0092,EV-7eeee7fc51fb,APP-00759,LOG-005258,2025-06-15 00:00:00,recruiter_note,internal,Update - set onboarding checklist again per candidte request. Will circle back if anything changes.,onboarding_process,Candidate asks about onboarding logistics.,"Candidate asked several onboarding logistics questions, answered all of them.","Note: candidate asked sevveral onboarding logistics questions, answered all of them.",2.7,0.45,high,unique,PENDING,,,
REV-0093,EV-6ab4325b56a2,APP-00762,LOG-005290,2024-10-21 00:00:00,recruiter_note,internal,Candidate mentioned current employer reached out. Sounded less certain today.,current_employer_activity,Candidate references activity or conversations at their current employer.,Reconfirmed interest but tone was noticeably different than last call.,"curreent employer found out and wants to keep me, going back and forth on it.",18.6,0.75,medium,likely_template,PENDING,,,
REV-0094,EV-19d7e65f7b36,APP-00770,LOG-005360,2025-01-01 00:00:00,recruiter_note,internal,"Clarified wok arrangement with candidate, some confusion from job posting language. Keeping an eye on this one.",expectation_setting,Communication reflects clarification or mismatch of role expectations.,can you clariffy how many days onsite are expected?,"Candidate surprised by onsite expectation, discussed further with client.",11.6,0.6,high,unique,PENDING,,,
REV-0095,EV-29c781be0f05,APP-00789,LOG-005471,2025-03-10 00:00:00,recruiter_note,internal,"Candidate surprised by onsite expectation, discussed further with client.",work_arrangement,Candidate raises a question about remote/hybrid/onsite work arrangement.,,"wait, is this fully remote or do I ned to come in sometimes?",1.6,0.6,medium,likely_template,PENDING,,,
REV-0096,EV-233aa84248aa,APP-00789,LOG-005477,2025-05-02 00:00:00,candidate_message,candidate_facing,"thoguht this was hybrid, want to make sure I understand the schedule.",work_arrangement,Candidate raises a question about remote/hybrid/onsite work arrangement.,"thought tihs was hybrid, want to make sure I understand the schedule. Appreciate it",,82.5,0.6,high,repeated_but_usable,PENDING,,,
REV-0097,EV-8c9f792e886f,APP-00797,LOG-005551,2024-09-13 00:00:00,candidate_message,candidate_facing,"not totally sure how tat interview went, just to double check, it felt a little off.",certainty_uncertainty,Candidate expresses uncertainty or hedging about their situation.,"wanted to follow up after the interview, wasn't suer I gave the best answers.","Checked in via text, candidate confirmed still interested. Wil circle back if anything changes.",79.3,0.6,high,unique,PENDING,,,
REV-0098,EV-dc52880c545f,APP-00803,LOG-005595,2024-06-01 00:00:00,candidate_message,candidate_facing,"this roole sounds like a great fit, can't wait to get started.",candidate_excitement,Candidate expresses positive sentiment about the role or process.,really appreciate you thniking of me for this one! Talk soon,"so excited about this opportunity,",11.5,0.6,high,same_application_duplicate,PENDING,,,
REV-0099,EV-a3a1fc9a56af,APP-00803,LOG-005596,2024-06-02 00:00:00,candidate_message,candidate_facing,"so excited about this opportunity,",commitment_language,Candidate uses language expressing forward commitment to the role.,"this roole sounds like a great fit, can't wait to get started.","this role souunds like a great fit, can't wait to get started.",17.6,0.6,medium,same_application_duplicate,PENDING,,,
REV-0100,EV-c708171c9f0e,APP-00827,LOG-005729,2025-01-29 00:00:00,candidate_message,candidate_facing,"Hello, whne do benefits kick in exactly?",candidate_questions,Candidate asks a direct question.,"Hello, wen do benefits kick in exactly?",wheen do benefits kick in exactly? Thanks,5.9,0.45,medium,unique,PENDING,,,
REV-0101,EV-6352973f10a0,APP-00828,LOG-005735,2025-04-08 00:00:00,recruiter_note,internal,"Candidate asked several onboarding logistics questions, answered all of them. Noted for the file.",onboarding_process,Candidate asks about onboarding logistics.,"Good morning, is there anything else I need to do bfeore","srory to ask again, but what should I bring on day one?",48.8,0.45,high,same_application_duplicate,PENDING,,,
REV-0102,EV-caf56dff01d1,APP-00828,LOG-005736,2025-04-11 00:00:00,candidate_message,candidate_facing,"srory to ask again, but what should I bring on day one?",onboarding_process,Candidate asks about onboarding logistics.,"Candidate asked several onboarding logistics questions, answered all of them. Noted for the file.","Good morning, sorry to ask again, but what should I bring on day one?",69.2,0.45,high,same_application_duplicate,PENDING,,,
REV-0103,EV-d8b170d54554,APP-00860,LOG-005969,2025-02-19 00:00:00,candidate_message,candidate_facing,"sounds good, thnak you!",responsiveness,"Candidate gives a brief, low-elaboration response.",,Candidate confirmed all onboarding steps complete.,9.1,0.45,medium,repeated_but_usable,PENDING,,,
REV-0104,EV-30c0d6ce7892,APP-00875,LOG-006099,2024-11-11 00:00:00,candidate_message,candidate_facing,"Hi there, so excited about thsi opportunity, thank you!",candidate_excitement,Candidate expresses positive sentiment about the role or process.,Candidate very positive about role and company during screen. Flagging for visibility.,Candidate let us know theey are turning down the offer.,53.6,0.6,high,same_application_duplicate,PENDING,,,
REV-0105,EV-b426360ae4ad,APP-00876,LOG-006101,2025-07-14 00:00:00,withdrawal_statement,candidate_facing,"I've decided to withdraw from this opportunity, thank you for the time and consideration.",withdrawal_language,Communication contains explicit withdrawal or declination language.,,,3.5,0.75,high,repeated_but_usable,PENDING,,,
REV-0106,EV-9259747dcf6f,APP-00889,LOG-006183,2025-03-24 00:00:00,candidate_message,candidate_facing,"wanted to check in, any news on neext steps?",recruiter_follow_up,Candidate follows up due to a lack of recent contact from the recruiter.,"Good morning, checking on something, any news on net steps?","Hi, wanted to check in, any news on next steps?",5.0,0.6,high,same_application_duplicate,PENDING,,,
REV-0107,EV-e77785a00ce3,APP-00890,LOG-006197,2025-06-04 00:00:00,recruiter_note,internal,"Cadnidate raised commute/transportation concern, discussed options. No action needed at this time.",location_commute,Candidate raises a comment or concern about commute/location.,"traffic to that location is rough, still deciiding if it's manageable.","Hi, don't have reliable transportation to that site every day, miht be an issue. Thanks!",3.4,0.6,high,unique,PENDING,,,
REV-0108,EV-f8a58c57455e,APP-00922,LOG-006440,2025-06-24 00:00:00,candidate_message,candidate_facing,just waant to understand how stable thiis assignment is before I commit. Thanks,job_security_concern,Candidate asks about role stability or long-term security.,"Note: candidate askde about contract length/conversion path, gave what info we have. Flagging for visibility.",just wat to undderstand how stable this assignment is before I commit. TY,22.0,0.6,high,unique,PENDING,,,
REV-0109,EV-1962996ce8b3,APP-00953,LOG-006658,2024-06-18 00:00:00,candidate_message,candidate_facing,"Hi there, wanted to douuble check the parking/badge situation one more time. Thanks",onboarding_process,Candidate asks about onboarding logistics.,Sent onboarding checklist again per candidate request.,"Candidate asked several onboarding logistics questions, answered all of them.",50.5,0.45,high,unique,PENDING,,,
REV-0110,EV-c97443508e1a,APP-00960,LOG-006725,2024-11-21 00:00:00,candidate_message,candidate_facing,"Hey, just want to understand how stable ths assignment is before I commit.",job_security_concern,Candidate asks about role stability or long-term security.,"is this role likely to cnvert to permanent, or stay contract long term?","Hello, just want to understand how stable this assignment is bfore I commit.",81.7,0.6,high,unique,PENDING,,,
REV-0111,EV-8f5525229c11,APP-00968,LOG-006783,2024-06-16 00:00:00,candidate_message,candidate_facing,"Hi, my current employer wants two weeks notice, is that going to be a problem?",current_employer_activity,Candidate references activity or conversations at their current employer.,Discussed notice period - candidate's current employer requesting longer transition. Will circle back if anything changes.,"Good afternoon, my current employeer wants two weeks notice, is that going to be a problem?",3.3,0.75,high,same_application_duplicate,PENDING,,,
REV-0112,EV-d17478f6a097,APP-00969,LOG-006787,2025-06-08 00:00:00,candidate_message,candidate_facing,"Hi there, tihngs came up at my current job, need a bit more time to think. Thank you",candidate_hesitation,Candidate's language reflects hesitation or delay in decision-making.,"FYI, brief call - candidate said manager asked to speak with them again. Will follow up by end of week.",Reconfirmed interest but tone was noticeably different than last call. Will flolow up early next week.,72.5,0.6,high,same_application_duplicate,PENDING,,,
REV-0113,EV-e1b6c456df15,APP-00974,LOG-006827,2024-06-14 00:00:00,recruiter_note,internal,"Per today's call, candidate raised commute/transportation concern, discussed options.",location_commute,Candidate raises a comment or concern about commute/location.,"Candidate raised commute/transportation concern, discussde options. Will check in agaiin in a few days.","Note: candidate raised commute/transportation concern, discussed options.",39.9,0.6,high,repeated_but_usable,PENDING,,,
REV-0114,EV-128aba9c0355,APP-01017,LOG-007106,2025-05-08 00:00:00,candidate_message,candidate_facing,any update on the background check? just want to plan around it.,documentation,"Reference to offer letter, paperwork, or background check status.",any update on the background check? jusst want to plan around it.,any update on the background check? just want to plan around it. Thank you,26.9,0.6,high,same_application_duplicate,PENDING,,,
REV-0115,EV-9e66b95de83e,APP-01029,LOG-007210,2025-06-29 00:00:00,withdrawal_statement,candidate_facing,"comp is fine, just not sure about long term stability here, going to pass.",job_security_concern,Candidate asks about role stability or long-term security.,"sitll figuring some things out on my end, not 100% sure but nothing major.",,2.4,0.6,high,repeated_but_usable,PENDING,,,
REV-0116,EV-064a6bf69758,APP-01041,LOG-007292,2024-08-20 00:00:00,candidate_message,candidate_facing,"Hello, so excited abot this opportunity, thank you!",commitment_language,Candidate uses language expressing forward commitment to the role.,Candidate expressed strong enthusiasm during call. Keeping an eye on this one.,Candidate very postiive about role and company during screen.,5.7,0.6,medium,same_application_duplicate,PENDING,,,
REV-0117,EV-a4a09d773a25,APP-01042,LOG-007296,2024-10-02 00:00:00,candidate_message,candidate_facing,"is this role likely to convert to permanent, or stay contract long term?",job_security_concern,Candidate asks about role stability or long-term security.,"is this role likely to converrt to permanent, or stay contract long term?","is thiis role likely to conert to permanent, or stay contract long term?",64.6,0.6,high,same_application_duplicate,PENDING,,,
REV-0118,EV-f0ff79ad241f,APP-01088,LOG-007605,2025-06-22 00:00:00,candidate_message,candidate_facing,"Hey, is the delay normal? getting a little anxious abut the timing.",process_delay,Communication references a delay in the recruitment process.,any update on the background,Post-interview check-in with candidate - they felt it went fine.,5.4,0.6,high,unique,PENDING,,,
REV-0119,EV-c6b44be74f61,APP-01089,LOG-007623,2024-06-05 00:00:00,recruiter_note,internal,"Offer letter delayed on client side, candidate starting to ask about it. Keeping an eye on this one.",documentation,"Reference to offer letter, paperwork, or background check status.","just checking, did the ofefr letter go out...","haven't seen anythinng in my inbox, wanted to follow up. Talk soon",41.0,0.6,high,same_application_duplicate,PENDING,,,
REV-0120,EV-c68d7a58e35c,APP-01093,LOG-007648,2024-11-13 00:00:00,candidate_message,candidate_facing,"not totally surre how that interview went, not 100% sure but it felt a little off.",certainty_uncertainty,Candidate expresses uncertainty or hedging about their situation.,"not totally sure how that interview went, I...","wanted to follow up after the interview, wasn't sure I gave the best answers.",29.7,0.6,high,unique,PENDING,,,
REV-0121,EV-0a58168003c4,APP-01120,LOG-007819,2024-04-06 00:00:00,candidate_message,candidate_facing,following up again - wanted to make sure everything is still on track.,recruiter_follow_up,Candidate follows up due to a lack of recent contact from the recruiter.,"quick update, any news",following up again - wanted to make sure everrything is stlil on track.,2.0,0.6,medium,likely_template,PENDING,,,
REV-0122,EV-2e9050154b98,APP-01121,LOG-007825,2024-12-24 00:00:00,candidate_message,candidate_facing,"Hello, jsut checking, did the offer letter go out yet? Thanks!",documentation,"Reference to offer letter, paperwork, or background check status.","Sent candidate an update on offer letter timeline, they were understanding. Nothing further to add right now.","Hi there, still waiting on the paperwork, just to double check, just maikng sure nothing got lost.",45.7,0.6,high,unique,PENDING,,,
REV-0123,EV-6fca1967ee50,APP-01132,LOG-007919,2025-07-26 00:00:00,candidate_message,candidate_facing,can you confirm again that nothing has chaned on the offer? TY,candidate_questions,Candidate asks a direct question.,"Good morning, wanted to make sure I didn't mis any...",,8.0,0.45,high,unique,PENDING,,,
REV-0124,EV-545a18a642a3,APP-01141,LOG-007967,2024-05-25 00:00:00,candidate_message,candidate_facing,can you clarify how many das onsite are expected? Thanks!,expectation_setting,Communication reflects clarification or mismatch of role expectations.,Debriefed with hirng manager after interview - feedback to follow. Will circle back if anything changes.,"Candidate surprised by onsite expectation, discussed further with client.",24.2,0.6,high,same_application_duplicate,PENDING,,,
REV-0125,EV-cda0dcb23d58,APP-01146,LOG-008008,2024-04-18 00:00:00,candidate_message,candidate_facing,"traffic to that locaiton is rough, still deciding if it's manageable. TY",location_commute,Candidate raises a comment or concern about commute/location.,"just realized the commute is lnoger than I thought, thinking it through.","Hey, just realized the commute is longer than I thought, thinking it through. Thanks",71.8,0.6,high,same_application_duplicate,PENDING,,,
REV-0126,EV-3ebb4902ed9a,APP-01148,LOG-008024,2024-12-19 00:00:00,candidate_message,candidate_facing,woould prefer day shift if that's possible at all.,schedule_shift,Candidate raises a comment about shift or schedule.,would prefer day shift if that's possible at all.,"Discussed shift schedule cooncerns with candidate, checked with client on flexibility. Keeping an eye on this one.",7.0,0.6,high,repeated_but_usable,PENDING,,,
REV-0127,EV-3bd72afa14f8,APP-01151,LOG-008054,2025-07-06 00:00:00,candidate_message,candidate_facing,just want to understand how stable this assignment,job_security_concern,Candidate asks about role stability or long-term security.,just want to understand how satble this assignment is before I commit.,sort of how long do these contraacts usually run at this client?,24.3,0.6,medium,unique,PENDING,,,
REV-0128,EV-05da564316c9,APP-01161,LOG-008129,2025-06-19 00:00:00,recruiter_note,internal,"Quick note - discussed shift schedule concerns with candidate, checked with client on flexibility.",schedule_shift,Candidate raises a comment about shift or schedule.,would prefer day shift if that's possible at all.,"Discussed shift schedule concerns wth candidate, checked with clint on flexibility.",2.9,0.6,high,repeated_but_usable,PENDING,,,
REV-0129,EV-185b5bdaf85a,APP-01171,LOG-008197,2024-04-28 00:00:00,candidate_message,candidate_facing,"not totally sure how that interview went, not sure if this matters but it felt a little off.",certainty_uncertainty,Candidate expresses uncertainty or hedging about their situation.,"Candidate confirmed receipt of details, no questions. Keeping an eye on this one.","wanted to follow up after the interview, wasn't sure I gave the best answers. Best",16.9,0.6,high,repeated_but_usable,PENDING,,,
REV-0130,EV-7d4b1e3e8df5,APP-01174,LOG-008231,2024-04-21 00:00:00,withdrawal_statement,candidate_facing,"personal reasons, sorry.",contradictory_information,Stated reason is brief/generic; may warrant comparison against surrounding evidence.,"sounds good, jsut following up.",,31.8,0.45,low,potential_redundancy,PENDING,,,
REV-0131,EV-b6f2ba1d05f9,APP-01204,LOG-008423,2024-03-31 00:00:00,recruiter_note,internal,"Start date moved again per client request, candidate updated.",joining_date,"Candidate references the start/joining date, its confirmation, or a change to it.",Client requested start date be pushed. Notified candidate. Will circle back if anything changes.,,4.1,0.6,medium,likely_template,PENDING,,,
REV-0132,EV-17ddfaf9a9f8,APP-01209,LOG-008448,2024-06-03 00:00:00,candidate_message,candidate_facing,just wnt to plan accordingly - is this start date firm this time? Thank you,joining_date,"Candidate references the start/joining date, its confirmation, or a change to it.",,"Hey, just want to plan accordingly - is this sttart date firm this time?",2.0,0.6,high,unique,PENDING,,,
REV-0133,EV-a75d2cdb0b40,APP-01226,LOG-008585,2024-07-07 00:00:00,candidate_message,candidate_facing,"Good morning, I'm also in process witth another company, wanted to be transparent about that. Best",alternative_opportunity,Candidate references a parallel or competing opportunity.,,"have another opportunity moving along too, trying to figure out timing. Best",4.9,0.75,high,unique,PENDING,,,
REV-0134,EV-2e65e2208a27,APP-01226,LOG-008598,2024-08-08 00:00:00,candidate_message,candidate_facing,"Good morning, have another opportunity moving along too, trying",alternative_opportunity,Candidate references a parallel or competing opportunity.,"Good morning, got some news on the other role I mentioned, still deciding.",Quick note - asked directly about other offers - candidate confirmed one other activve process. Will check in again in a few days.,27.0,0.75,high,unique,PENDING,,,
REV-0135,EV-3c31ef7acf60,APP-01248,LOG-008749,2024-11-04 00:00:00,recruiter_note,internal,Seent onboarding checklist again per candidate request.,onboarding_process,Candidate asks about onboarding logistics.,just wantd to confirm again whether the start date is completely locked.,"Candidate askeed several onboarding logistics questions, answered all of them. Keeipng an eye on this one.",7.8,0.45,medium,unique,PENDING,,,
REV-0136,EV-55f75c00a17f,APP-01265,LOG-008879,2024-03-02 00:00:00,candidate_message,candidate_facing,"got some news on the other role I mentioned, still deciding. Thanks",alternative_opportunity,Candidate references a parallel or competing opportunity.,Debriefed with hiring manager after interview - feedback to follow. Will circle back if anything changes.,got some news on the other...,72.0,0.75,high,same_application_duplicate,PENDING,,,
REV-0137,EV-f1e896abec39,APP-01266,LOG-008896,2024-11-01 00:00:00,withdrawal_statement,candidate_facing,"Transportation to the site fell through, I hae to withdraw, sorry.",withdrawal_language,Communication contains explicit withdrawal or declination language.,"Hey, just realized the commmute is longer than I thought, thinking it through. TY",,7.2,0.75,high,same_application_duplicate,PENDING,,,
REV-0138,EV-87ebf5c60f42,APP-01270,LOG-008913,2024-08-17 00:00:00,candidate_message,candidate_facing,"wait, is this fully remote or do I need to come in sometimes?",candidate_questions,Candidate asks a direct question.,"Candidate surprised by onsite expectation, discussed further with client.","Cllarified work arrangement with candidate, some confusion from job posting language. Keeping an eye on this one.",54.4,0.45,medium,same_application_duplicate,PENDING,,,
REV-0139,EV-e2e3e550c822,APP-01270,LOG-008914,2024-08-23 00:00:00,recruiter_note,internal,"Cllarified work arrangement with candidate, some confusion from job posting language. Keeping an eye on this one.",work_arrangement,Candidate raises a question about remote/hybrid/onsite work arrangement.,"wait, is this fully remote or do I need to come in sometimes?","Hi there, can you clariify how many days onsite are expected? thx",78.7,0.6,high,unique,PENDING,,,
REV-0140,EV-16a10a655ab0,APP-01274,LOG-008949,2025-02-02 00:00:00,candidate_message,candidate_facing,"stiill waiting on the paperwork, sort of just making sure nothing got lost.",certainty_uncertainty,Candidate expresses uncertainty or hedging about their situation.,"Offer letter delayed on client side, candidate starting to ask about it. Noted for the file.","Sent candidate an update on offer letter timeline, they were understanding.",7.5,0.6,high,same_application_duplicate,PENDING,,,
REV-0141,EV-76d78daf577f,APP-01288,LOG-009050,2024-03-07 00:00:00,withdrawal_statement,candidate_facing,"I've decided to withdraw from this opportunity, thank you for the time and consideration. Talk soon",withdrawal_language,Communication contains explicit withdrawal or declination language.,appreciate the quicck response! Thank you,,5.8,0.75,high,unique,PENDING,,,
REV-0142,EV-7a45d218e5f5,APP-01289,LOG-009053,2025-02-19 00:00:00,recruiter_note,internal,Candidate said compensation was 'not a concern' but asked about job security three separate times.,compensation_concern,Candidate raises a question or concern about compensation.,Candidate mentioned a conversation with their current manager on last week. Later cited unrelated reason for withdrawal.,Candidate mentioned a conversation with their current manager on last week. Later cited unrelated rason for withdrawal. Will follow up early next week.,6.8,0.6,medium,same_application_duplicate,PENDING,,,
REV-0143,EV-4a93dc237c4e,APP-01290,LOG-009058,2025-04-20 00:00:00,candidate_message,candidate_facing,just checking in on next steps.,recruiter_follow_up,Candidate follows up due to a lack of recent contact from the recruiter.,"understood, thnak you.","Good afternoon, just checking in on next steps. Thnaks",4.0,0.6,medium,repeated_but_usable,PENDING,,,
REV-0144,EV-b07834685021,APP-01290,LOG-009062,2025-05-07 00:00:00,withdrawal_statement,candidate_facing,"Hi there, After careful thought, I ned to formally withdraw my acceptance. Appreciate everything.",withdrawal_language,Communication contains explicit withdrawal or declination language.,"Routine check-in with candidate, no concerns noted. Will check in again in a few days.",,6.6,0.75,high,unique,PENDING,,,
REV-0145,EV-ff5d8d4c48f6,APP-01293,LOG-009084,2025-04-30 00:00:00,candidate_message,candidate_facing,"still figuring some things out on my end, juust to double check, nothing major.",candidate_hesitation,Candidate's language reflects hesitation or delay in decision-making.,,"still figuring soe things out on my end, I think nothing major.",1.6,0.6,high,unique,PENDING,,,
REV-0146,EV-1d415102ef15,APP-01295,LOG-009109,2024-06-14 00:00:00,candidate_message,candidate_facing,just wanted to confirm again whether the start date is completeely locked.,joining_date,"Candidate references the start/joining date, its confirmation, or a change to it.","Candidate asked several onboarrding logistics questions, answered all of them.",wnted to double check the parking/badge,38.6,0.6,high,unique,PENDING,,,
REV-0147,EV-d38d4343c726,APP-01296,LOG-009118,2024-10-01 00:00:00,candidate_message,candidate_facing,"haven't heard anything in a while, just checking if there's an update.",recruiter_follow_up,Candidate follows up due to a lack of recent contact from the recruiter.,No update sent to candidate in several days - overdue for a call.,Client requested a few days to circle back after interview. Will follow up early next week.,32.9,0.6,high,repeated_but_usable,PENDING,,,
REV-0148,EV-3f21adbb9f0e,APP-01303,LOG-009174,2025-04-06 00:00:00,recruiter_note,internal,Clarified updated role scope with candidate after client changed requirements.,expectation_setting,Communication reflects clarification or mismatch of role expectations.,"Hello, wait, I thught this roole was more focused on process improvement, is that still the case?","wait, I thought thsi role was more focused on client support, is that still the case? TY",28.5,0.6,high,repeated_but_usable,PENDING,,,
REV-0149,EV-c9a498716eff,APP-01305,LOG-009195,2025-03-10 00:00:00,candidate_message,candidate_facing,"still figuring some things out on my end, not sure if this matters but nothing major.",candidate_hesitation,Candidate's language reflects hesitation or delay in decision-making.,"Hello, still figuring some things out on my end, not sure if thhis matters but nothing major.",Candidate mentioned a conversation with their current manager on Tuesday's check-in. Later cited unrelated reason for withdrawal.,59.9,0.6,high,repeated_but_usable,PENDING,,,
REV-0150,EV-fd6e2cf8312d,APP-01325,LOG-009349,2024-05-18 00:00:00,withdrawal_statement,candidate_facing,"Still thinking about how the interview went and decided to step back, sorry. Talk soon",withdrawal_language,Communication contains explicit withdrawal or declination language.,Candidate responsive and on track per today's call.,,60.9,0.75,high,same_application_duplicate,PENDING,,,
REV-0151,EV-81510ef8e79b,APP-01344,LOG-009464,2024-06-20 00:00:00,candidate_message,candidate_facing,"got some nes on the other role I mentioned, still deciding.",alternative_opportunity,Candidate references a parallel or competing opportunity.,Quick note - candidate disclosed a parallel prrocess with another firm. Discussed timeline expectations. Noted for the file.,"Candidate mentioned competing process, seems to be weighing both.",15.7,0.75,high,same_application_duplicate,PENDING,,,
REV-0152,EV-199b9672f8ed,APP-01368,LOG-009616,2025-06-03 00:00:00,candidate_message,candidate_facing,"still figuring some things out on my end, I guess nothing major.",candidate_hesitation,Candidate's language reflects hesitation or delay in decision-making.,"FYI, candidate said compensation was 'not a concern' but aksed about job security three separate times. Will circle bck if anythiing changes.",Cadnidate said compensation was 'not a concern' but asked about job security three separate times. Keeping an eye on this one.,7.2,0.6,high,repeated_but_usable,PENDING,,,
REV-0153,EV-df258d0d56d9,APP-01376,LOG-009690,2024-05-04 00:00:00,recruiter_note,internal,"Candidate raised commute/transportation concern, discussed options.",location_commute,Candidate raises a comment or concern about commute/location.,"Candidate raised commute/transportation concern, disccussed options.","jsut realized the commute is longer than I thought, thinking it through.",7.7,0.6,medium,likely_template,PENDING,,,
REV-0154,EV-3ab6de11ec0b,APP-01380,LOG-009714,2025-05-15 00:00:00,candidate_message,candidate_facing,"Good afternoon, great, see you then.",commitment_language,Candidate uses language expressing forward commitment to the role.,"perfect, thanks for confirming.",Candidate confirrmed all onboarding steps complete.,71.7,0.6,medium,repeated_but_usable,PENDING,,,
REV-0155,EV-b108de12e89e,APP-01403,LOG-009874,2025-02-05 00:00:00,candidate_message,candidate_facing,ok,responsiveness,"Candidate gives a brief, low-elaboration response.",Candidate less engaged on last two calls compared to initial screen.,Post-interview check-in with candidate - they felt it went fine. Noted for the file.,4.9,0.45,low,likely_template,PENDING,,,
REV-0156,EV-e9f9fa7c8c3e,APP-01407,LOG-009902,2025-01-27 00:00:00,candidate_message,candidate_facing,"this roe sounds like a great fit, can't wait to get started.",commitment_language,Candidate uses language expressing forward commitment to the role.,,Update - candidate very positive about role and company during screen.,2.7,0.6,high,same_application_duplicate,PENDING,,,
REV-0157,EV-355f3b111b29,APP-01408,LOG-009907,2024-06-15 00:00:00,candidate_message,candidate_facing,just want to understand how stable this assignment is before I commit.,job_security_concern,Candidate asks about role stability or long-term security.,"is this role likely to convert to permanent, or stay contrract long term?",Discussed typical assignment duration at this client wiith candidate. Will follow up early next week.,9.9,0.6,medium,likely_template,PENDING,,,
REV-0158,EV-cc9ea747827f,APP-01408,LOG-009913,2024-07-23 00:00:00,candidate_message,candidate_facing,not sure if this matters but how long do theese contracts usually run at this client?,candidate_questions,Candidate asks a direct question.,"Hey, just want to understand how stable this assignment is before I commit.",Discussed tpical assignment duration at this client with candidate.,9.9,0.45,high,unique,PENDING,,,
