scenario_id,scenario_name,mechanism_id,mechanism_name,observable_evidence,journey_stage,alternative_explanation,information_gap,outcome_association
SCN-9790c03cbb4b,Friction — documentation,BM-006,Friction,"Offer letter delayed on client side, candidate starting to ask about it. Keeping an eye on this one.",client_interview_2,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-acadb443a23f,Uncertainty / Ambiguity Aversion — certainty_uncertainty,BM-029,Uncertainty / Ambiguity Aversion,"not totally surre how that interview went, not 100% sure but it felt a little off.",screened,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=withdrew_post_acceptance. Descriptive, not a statistical association."
SCN-83c434b47bd7,Uncertainty / Ambiguity Aversion — recruiter_follow_up,BM-029,Uncertainty / Ambiguity Aversion,following up again - wanted to make sure everything is still on track.,background_check,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=withdrew_post_acceptance. Descriptive, not a statistical association."
SCN-d98e32864df9,Friction — documentation,BM-006,Friction,"Hello, jsut checking, did the offer letter go out yet? Thanks!",client_interview_1,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=declined_offer. Descriptive, not a statistical association."
SCN-aab7c605833d,Friction — candidate_questions,BM-006,Friction,can you confirm again that nothing has chaned on the offer? TY,onboarding_docs_sent,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-ca5ee503d0b6,Uncertainty / Ambiguity Aversion — expectation_setting,BM-029,Uncertainty / Ambiguity Aversion,can you clarify how many das onsite are expected? Thanks!,client_interview_1,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=declined_offer. Descriptive, not a statistical association."
SCN-f7af0e4b7258,Status Quo Bias — location_commute,BM-001,Status Quo Bias,"traffic to that locaiton is rough, still deciding if it's manageable. TY",client_interview_1,BM-006 Friction,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=withdrew_post_acceptance. Descriptive, not a statistical association."
SCN-79acfd65004d,Friction — schedule_shift,BM-006,Friction,woould prefer day shift if that's possible at all.,submitted,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=withdrew_post_acceptance. Descriptive, not a statistical association."
SCN-40d22ceab30d,Uncertainty / Ambiguity Aversion — job_security_concern,BM-029,Uncertainty / Ambiguity Aversion,just want to understand how stable this assignment,client_interview_1,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-a57c43595e20,Friction — schedule_shift,BM-006,Friction,"Quick note - discussed shift schedule concerns with candidate, checked with client on flexibility.",submitted,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-511e0fdf38aa,Uncertainty / Ambiguity Aversion — certainty_uncertainty,BM-029,Uncertainty / Ambiguity Aversion,"not totally sure how that interview went, not sure if this matters but it felt a little off.",offer_extended,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=rejected_by_client. Descriptive, not a statistical association."
SCN-5fefd9ef9296,Uncertainty / Ambiguity Aversion — joining_date,BM-029,Uncertainty / Ambiguity Aversion,"Start date moved again per client request, candidate updated.",background_check,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-9e9a9140ed9c,Uncertainty / Ambiguity Aversion — joining_date,BM-029,Uncertainty / Ambiguity Aversion,just wnt to plan accordingly - is this start date firm this time? Thank you,unknown,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=accepted_no_show. Descriptive, not a statistical association."
SCN-7e87c54cdf2d,Friction — onboarding_process,BM-006,Friction,Seent onboarding checklist again per candidate request.,client_interview_2,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-1bff2a963f8f,Status Quo Bias — withdrawal_language,BM-001,Status Quo Bias,"Transportation to the site fell through, I hae to withdraw, sorry.",offer_accepted,BM-006 Friction,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=withdrew_post_acceptance. Descriptive, not a statistical association."
SCN-7c8d68c0c6b8,Friction — work_arrangement,BM-006,Friction,"Cllarified work arrangement with candidate, some confusion from job posting language. Keeping an eye on this one.",client_interview_1,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=withdrew_post_acceptance. Descriptive, not a statistical association."
SCN-dae41062093d,Uncertainty / Ambiguity Aversion — certainty_uncertainty,BM-029,Uncertainty / Ambiguity Aversion,"stiill waiting on the paperwork, sort of just making sure nothing got lost.",offer_extended,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-f958c09f6dd2,Uncertainty / Ambiguity Aversion — recruiter_follow_up,BM-029,Uncertainty / Ambiguity Aversion,just checking in on next steps.,submitted,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=withdrew_post_acceptance. Descriptive, not a statistical association."
SCN-d1a73cf968fe,Uncertainty / Ambiguity Aversion — joining_date,BM-029,Uncertainty / Ambiguity Aversion,just wanted to confirm again whether the start date is completeely locked.,background_check,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-2aad61be059a,Uncertainty / Ambiguity Aversion — recruiter_follow_up,BM-029,Uncertainty / Ambiguity Aversion,"haven't heard anything in a while, just checking if there's an update.",screened,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=declined_offer. Descriptive, not a statistical association."
SCN-5291a72dc8ca,Uncertainty / Ambiguity Aversion — expectation_setting,BM-029,Uncertainty / Ambiguity Aversion,Clarified updated role scope with candidate after client changed requirements.,submitted,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-61a6d9ed9436,Uncertainty / Ambiguity Aversion — candidate_hesitation,BM-029,Uncertainty / Ambiguity Aversion,"still figuring some things out on my end, not sure if this matters but nothing major.",background_check,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-77950a13eb85,Peak-End Rule — withdrawal_language,BM-016,Peak-End Rule,"Still thinking about how the interview went and decided to step back, sorry. Talk soon",background_check,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=withdrew_post_acceptance. Descriptive, not a statistical association."
SCN-15f35c92d959,Status Quo Bias — location_commute,BM-001,Status Quo Bias,"Candidate raised commute/transportation concern, discussed options.",submitted,BM-006 Friction,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-9757e772dc72,Uncertainty / Ambiguity Aversion — job_security_concern,BM-029,Uncertainty / Ambiguity Aversion,just want to understand how stable this assignment is before I commit.,submitted,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-4677b1eb0597,Uncertainty / Ambiguity Aversion — candidate_questions,BM-029,Uncertainty / Ambiguity Aversion,not sure if this matters but how long do theese contracts usually run at this client?,background_check,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-64d4f12390e9,Friction — process_delay,BM-006,Friction,"Client background vendor running behind, expect another few days.",client_interview_1,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-d608c4d403d6,Uncertainty / Ambiguity Aversion — certainty_uncertainty,BM-029,Uncertainty / Ambiguity Aversion,"not totally sure how taht interview went, wanted to flag, it felt a little off. TY",submitted,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=declined_offer. Descriptive, not a statistical association."
SCN-65f38949574d,Friction — process_delay,BM-006,Friction,"Good afternoon, is the delay normal? getting a little anxious about the timing.",background_check,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_late. Descriptive, not a statistical association."
SCN-337dd00781b4,Friction — process_delay,BM-006,Friction,"Client background vendor running behind, expect another few days.",background_check,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_late. Descriptive, not a statistical association."
SCN-db558e8eda37,Uncertainty / Ambiguity Aversion — job_security_concern,BM-029,Uncertainty / Ambiguity Aversion,just want to understand how stable this assignment is beffore I commit.,offer_extended,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-221eb81ed66d,Status Quo Bias — current_employer_activity,BM-001,Status Quo Bias,"Update - candidate hedging on timeline, referenced an internal conversation at current job. Will check in again in a few days.",background_check,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-992ba805b40f,Uncertainty / Ambiguity Aversion — job_security_concern,BM-029,Uncertainty / Ambiguity Aversion,jut want to understand how stable this assignment is before I commit.,submitted,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_late. Descriptive, not a statistical association."
SCN-c5b416b3e5b8,Friction — process_delay,BM-006,Friction,is the delay normal? gettnig a little anxious about the timing.,onboarding_docs_sent,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_late. Descriptive, not a statistical association."
SCN-a568e8d6481c,Uncertainty / Ambiguity Aversion — candidate_hesitation,BM-029,Uncertainty / Ambiguity Aversion,"still figuring some things out on my end, just to double check, nothing major.",client_interview_1,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=withdrew_post_acceptance. Descriptive, not a statistical association."
SCN-1d0387e78981,Status Quo Bias — current_employer_activity,BM-001,Status Quo Bias,Candidate mentioned current employer reached out. Sounded less certain today.,submitted,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=rejected_by_client. Descriptive, not a statistical association."
SCN-5c7bfa78a59b,Uncertainty / Ambiguity Aversion — recruiter_follow_up,BM-029,Uncertainty / Ambiguity Aversion,"thanks so muhc for checking in, really appreciate how on top of this you've been!",client_interview_1,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=withdrew_post_acceptance. Descriptive, not a statistical association."
SCN-47b9e2954240,Status Quo Bias — current_employer_activity,BM-001,Status Quo Bias,Candidate mentioned a conversation with their current manager on Tuesday's check-in. Later cited unrelated reason for withdrawal. Keeping an eye on this one.,offer_accepted,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=accepted_no_show. Descriptive, not a statistical association."
SCN-84a98bc89efa,Friction — documentation,BM-006,Friction,"Sent candidate an update on offer letter timeline, they were understanding. Nothing further to add right now.",offer_accepted,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-3ff4b5176d63,Uncertainty / Ambiguity Aversion — joining_date,BM-029,Uncertainty / Ambiguity Aversion,"Good morning, tring to work out my notice period, might push the start date a bit.",client_interview_1,BM-006 Friction,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-c26a3850b8d0,Status Quo Bias — current_employer_activity,BM-001,Status Quo Bias,"my current employer wants one weeks notice, is that going to be a problem?",background_check,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-62888bea5edd,Friction — onboarding_process,BM-006,Friction,Candidate confirmed all onboarding steps complete.,submitted,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=declined_offer. Descriptive, not a statistical association."
SCN-e94e0dc570f0,Status Quo Bias — location_commute,BM-001,Status Quo Bias,"don't have reliable transportation to that site every day, mighht be an issue.",submitted,BM-006 Friction,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=declined_offer. Descriptive, not a statistical association."
SCN-6a9e32b526c7,Uncertainty / Ambiguity Aversion — certainty_uncertainty,BM-029,Uncertainty / Ambiguity Aversion,"not totally sure how tht interview went, kind of it felt a little off.",background_check,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=accepted_no_show. Descriptive, not a statistical association."
SCN-406e1fd4a16d,Friction — schedule_shift,BM-006,Friction,"Discussed shift scehdule concerns with candidate, chcked with client on flexibility.",offer_accepted,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=withdrew_post_acceptance. Descriptive, not a statistical association."
SCN-79dd9624241c,Friction — documentation,BM-006,Friction,"just checking, did the offer letter go out yet?",client_interview_2,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-e48af014e876,Friction — onboarding_process,BM-006,Friction,"Candidate asked seveeral onboarding logistics questions, answered all of them. No acction needed at this time.",offer_accepted,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-5e19f2f5be78,Friction — schedule_shift,BM-006,Friction,is there any flexibility on the shift start time?,client_interview_2,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-4488676fd24a,Friction — onboarding_process,BM-006,Friction,Candidate confirmed all onboarding steps complete. Keeping an eye on this one.,submitted,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-ea23880094b2,Anchoring — compensation_concern,BM-013,Anchoring,the rate is a little lwer than I was expecting honestly.,unknown,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_late. Descriptive, not a statistical association."
SCN-1c9426bc30d5,Friction — process_delay,BM-006,Friction,"Update - background check still processing, notified candidate of delay. Will circle back if anything changes.",submitted,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=rejected_by_client. Descriptive, not a statistical association."
SCN-e2c06215402f,Friction — process_delay,BM-006,Friction,"Update - bcakground check still processing, notified candidate of delay. Keeping an eye on this one.",client_interview_1,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=rejected_by_client. Descriptive, not a statistical association."
SCN-f89cac98cc41,Uncertainty / Ambiguity Aversion — expectation_setting,BM-029,Uncertainty / Ambiguity Aversion,the scope sounds a little different than wht we discussed earlier.,background_check,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-df056325552e,Friction — schedule_shift,BM-006,Friction,would prefer day shift if that's possible at all.,background_check,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=accepted_no_show. Descriptive, not a statistical association."
SCN-f8612370b780,Anchoring — compensation_concern,BM-013,Anchoring,the rate is a little lower than I was expecting honestly.,offer_accepted,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-292d6965b130,Status Quo Bias — current_employer_activity,BM-001,Status Quo Bias,"Hello, my current employer wants three weeks notice, is tat going to be a problem?",submitted,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-62e907b5e70b,Uncertainty / Ambiguity Aversion — joining_date,BM-029,Uncertainty / Ambiguity Aversion,"trying to work out my notice period, might psh the start date a bit.",offer_accepted,BM-006 Friction,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-9caf5196d07f,Friction — onboarding_process,BM-006,Friction,"Per today's call, candidate confirmed all onboarding steps complete.",client_interview_2,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-1f956b1a68dc,Anchoring — compensation_concern,BM-013,Anchoring,the rate is a little lower thhan I was expecting honestly.,client_interview_1,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=withdrew_post_acceptance. Descriptive, not a statistical association."
SCN-ba9810fddfbc,Uncertainty / Ambiguity Aversion — expectation_setting,BM-029,Uncertainty / Ambiguity Aversion,"Clarified work arrangement with candidate, some confusion from job posting language.",submitted,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-1035a54c7f30,Friction — work_arrangement,BM-006,Friction,"Candidate surprised by onsite expectation, discussed further with client.",offer_accepted,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-79224c558f35,Uncertainty / Ambiguity Aversion — recruiter_follow_up,BM-029,Uncertainty / Ambiguity Aversion,"haven't heard anything in a while, just checknig if there's an update.",submitted,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-5ea8774513f6,Friction — documentation,BM-006,Friction,"Sent candidate an udpate on offer letter timeline, they were understanding. Noted for the file.",client_interview_1,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-3124dc7534c3,Reactance — withdrawal_language,BM-021,Reactance,"The onsite requirement doesn't work with my situation, have to pass.",client_interview_1,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=declined_offer. Descriptive, not a statistical association."
SCN-b70ab902074c,Uncertainty / Ambiguity Aversion — certainty_uncertainty,BM-029,Uncertainty / Ambiguity Aversion,"still waiiting on the paperwork, sort of just making sure nothing got lost. Talk soon",client_interview_1,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=withdrew_post_acceptance. Descriptive, not a statistical association."
SCN-13144c09227d,Friction — process_delay,BM-006,Friction,"Hey, is the delay normal? getting a little anxious aout the timing.",background_check,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=rejected_by_client. Descriptive, not a statistical association."
SCN-68ec36d1fbd3,Friction — process_delay,BM-006,Friction,is the delay normal? getting a little anxious abbout the timing.,unknown,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=declined_offer. Descriptive, not a statistical association."
SCN-b31cf86d794b,Anchoring — compensation_concern,BM-013,Anchoring,the rate is a little lower thna I was expecting honestly.,client_interview_1,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=withdrew_post_acceptance. Descriptive, not a statistical association."
SCN-85881c66724a,Anchoring — compensation_concern,BM-013,Anchoring,the rate is a little lower than I was expecting honestly.,onboarding_docs_sent,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_late. Descriptive, not a statistical association."
SCN-abfa552a2f4c,Friction — onboarding_process,BM-006,Friction,Caniddate confirmed all onboarding steps complete. No action needed at this time.,client_interview_1,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-baac6918ee0b,Uncertainty / Ambiguity Aversion — certainty_uncertainty,BM-029,Uncertainty / Ambiguity Aversion,"traffic to that location is rough, still deciding if it's manageable.",client_interview_2,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=withdrew_post_acceptance. Descriptive, not a statistical association."
SCN-7cbcff4d4e9d,Friction — process_delay,BM-006,Friction,is the delay normal? getting a little...,background_check,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-7657e71a1234,Friction — schedule_shift,BM-006,Friction,"Discussed shift schdule concerns with candidate, checked with client on flexibility.",submitted,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=withdrew_post_acceptance. Descriptive, not a statistical association."
SCN-0a5a497a7dac,Uncertainty / Ambiguity Aversion — recruiter_follow_up,BM-029,Uncertainty / Ambiguity Aversion,following up again - wanted to make sure everything is still on track.,submitted,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=withdrew_post_acceptance. Descriptive, not a statistical association."
SCN-6dfb9b46fc2b,Friction — schedule_shift,BM-006,Friction,"Discussed shift schedule concerns with candidate, checked with client on flexibility.",screened,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-f48a3fc69aaa,Uncertainty / Ambiguity Aversion — expectation_setting,BM-029,Uncertainty / Ambiguity Aversion,can you clarify how many dys...,client_interview_1,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_on_time. Descriptive, not a statistical association."
SCN-230e4817e8e6,Uncertainty / Ambiguity Aversion — joining_date,BM-029,Uncertainty / Ambiguity Aversion,"Start date moved again per client request, candidate updated. Will circle back if anything changes.",offer_accepted,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_late. Descriptive, not a statistical association."
SCN-937d0c9134f4,Status Quo Bias — location_commute,BM-001,Status Quo Bias,"just raelized the commute is longer than I thought, thinking it through. Thank you",submitted,BM-006 Friction,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=declined_offer. Descriptive, not a statistical association."
SCN-6d293034fe43,Friction — process_delay,BM-006,Friction,"still waiting on the paperwork, just to double check, just making sure nothing got lost. Thank you",offer_accepted,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_late. Descriptive, not a statistical association."
SCN-12b16909f894,Reactance — withdrawal_language,BM-021,Reactance,"Hi there, The benefits package isn't quite enough for my family's needs, have to pass. thx",client_interview_1,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=declined_offer. Descriptive, not a statistical association."
SCN-d07ab23fce4b,Uncertainty / Ambiguity Aversion — joining_date,BM-029,Uncertainty / Ambiguity Aversion,"trying to work out my notice period, might psuh the start date a bit.",client_interview_1,BM-006 Friction,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_late. Descriptive, not a statistical association."
SCN-0fed550ceb12,Uncertainty / Ambiguity Aversion — recruiter_follow_up,BM-029,Uncertainty / Ambiguity Aversion,any update on the background check? just waant to plan around it.,submitted,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_late. Descriptive, not a statistical association."
SCN-7328ffb63c08,Friction — process_delay,BM-006,Friction,is the delay normal? gettting a little anxious about the timing.,background_check,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=joined_late. Descriptive, not a statistical association."
SCN-229cb4582ef3,Uncertainty / Ambiguity Aversion — expectation_setting,BM-029,Uncertainty / Ambiguity Aversion,"Hello, the scope sounds a little different than what we discussed earlier.",screened,Not identified from current evidence.,Mapping confidence (0.00) is below the moderate threshold (0.5); additional evidence recommended before relying on this scenario.,"Single observation only: final_disposition=declined_offer. Descriptive, not a statistical association."
